,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,40,15,20,40,30,29,10,36,45,10,0,1,13,30,23,39,15,42,25,2,45,35,8,20,27,47,11,21,46,17,36,31,11,14,35,8,19,7,41,26,41,26,25,47,1,39,5,13,25,42,16,47,4,27,42,31,29,29,47,50,33,15,17,41,35,44,27,26,14,15,16,43,16,15,19,20,14,2,33,38,14,18,10,30,10,29,35,14,25,50,3,45,6,46,30,37,42,15,3,21
11,37,7,2,28,1,40,29,42,13,44,23,0,25,37,8,40,43,6,28,32,49,24,39,17,47,31,49,19,28,9,50,12,42,8,12,12,45,39,48,1,3,32,40,30,24,17,29,12,40,23,2,23,23,14,20,33,27,22,38,48,6,8,30,22,38,5,49,11,50,50,46,36,24,27,15,9,31,6,20,40,28,4,35,26,32,34,25,39,40,32,42,41,42,34,30,23,13,10,40,39
12,26,50,4,36,20,2,18,2,11,38,12,18,0,37,39,48,31,42,27,20,4,29,18,44,26,17,39,29,45,31,3,49,25,30,37,30,7,47,32,1,17,5,45,42,33,22,47,9,16,17,18,4,43,50,29,48,37,9,15,22,37,20,35,41,19,3,27,46,22,3,13,21,17,26,27,28,9,25,14,5,21,31,38,26,42,48,38,43,16,41,42,25,17,34,7,18,25,14,8,8
13,41,12,31,34,28,42,22,15,12,44,11,23,22,0,33,12,20,30,8,25,22,37,4,47,26,28,10,27,15,33,23,31,36,35,46,1,22,26,15,27,47,9,50,3,19,4,17,44,15,11,44,1,33,2,9,3,45,43,47,18,21,22,11,49,44,30,6,21,39,30,8,35,41,42,49,42,39,9,16,45,35,10,33,24,46,9,6,2,12,19,34,7,20,37,29,40,30,48,13,24
14,44,15,47,41,11,10,13,20,9,15,42,48,18,28,0,7,32,4,44,18,7,15,5,35,22,1,12,46,29,26,36,49,32,3,26,23,28,31,4,45,15,1,43,3,19,36,32,48,26,46,40,43,17,50,24,24,12,22,32,25,13,9,29,28,7,10,36,36,41,10,33,13,22,7,18,37,28,15,30,38,19,5,35,9,24,30,40,33,26,33,45,5,38,41,24,18,20,17,45,5
15,8,40,23,49,41,14,11,43,12,16,9,23,30,5,21,0,15,29,7,7,27,4,37,29,23,40,10,1,20,14,46,49,48,33,34,36,31,9,24,41,3,42,35,5,5,38,32,37,30,26,7,23,18,25,15,50,12,39,5,47,33,35,28,48,39,33,38,43,16,26,43,2,13,19,37,26,40,32,20,10,23,15,22,14,22,25,26,47,44,19,11,23,25,6,23,24,1,7,9,27
16,15,10,44,33,16,37,49,13,48,18,34,9,25,5,17,29,0,43,41,21,11,39,35,47,44,16,33,46,3,48,21,42,46,35,19,6,15,34,3,29,34,20,25,19,45,32,19,46,17,4,2,34,3,36,5,44,31,41,32,41,21,35,3,36,9,33,31,37,27,12,17,46,9,48,25,25,8,4,21,26,47,13,26,3,4,46,43,30,47,24,11,35,46,15,27,33,27,5,31,27
17,45,9,36,2,4,49,30,34,29,42,20,29,22,20,17,8,17,0,27,36,43,34,41,48,2,1,26,24,17,7,41,28,24,24,2,34,30,1,29,8,11,21,1,19,12,8,49,19,49,5,30,44,49,41,9,50,34,40,39,30,38,20,49,31,26,17,24,40,8,46,18,11,42,16,50,23,33,33,49,19,37,50,29,42,5,44,23,43,7,21,22,32,7,37,1,5,47,33,2,37
18,33,28,8,45,31,50,11,3,4,14,44,35,4,15,18,24,33,46,0,14,14,45,50,29,3,4,6,45,11,19,25,8,5,27,22,18,34,21,16,40,26,37,40,23,31,37,32,45,37,23,42,50,16,48,23,28,23,32,5,34,33,5,10,38,33,46,50,6,35,3,23,38,19,23,45,23,33,23,35,25,41,45,3,21,46,3,5,49,19,35,43,14,44,43,21,12,41,9,38,39
19,9,42,47,48,44,33,24,49,19,33,9,25,5,15,16,10,43,2,1,0,28,8,43,23,31,9,31,18,25,20,10,31,13,9,3,6,10,11,11,6,1,3,30,29,49,27,29,8,25,24,33,16,40,8,23,40,25,26,8,34,32,40,38,33,16,42,21,7,25,12,37,30,49,7,41,11,29,41,6,40,30,7,31,2,7,27,16,5,2,27,18,17,11,22,39,36,12,4,13,35
20,38,7,9,10,35,43,44,9,40,50,3,19,13,11,45,34,10,15,6,21,0,25,36,3,44,28,35,33,2,12,21,7,21,23,46,30,20,41,40,20,12,29,10,37,14,17,6,18,41,48,9,18,14,15,4,40,3,32,44,27,15,35,43,40,44,33,32,7,34,21,9,32,14,29,10,8,4,9,36,12,41,31,36,1,29,22,9,22,29,17,4,36,17,18,50,12,31,19,20,39
21,4,20,27,50,47,40,46,40,25,11,20,40,22,32,11,17,17,25,39,34,20,0,26,43,7,48,21,28,19,40,13,8,12,7,11,32,4,32,32,14,27,8,44,35,3,20,6,43,6,49,21,22,11,2,49,10,10,17,26,10,43,21,6,2,30,41,47,11,16,42,39,15,3,50,2,35,46,8,32,36,8,30,38,44,47,50,24,22,45,1,11,12,9,49,28,26,50,27,13,35
22,12,26,4,47,10,13,22,28,21,49,24,48,23,40,7,28,29,12,11,39,38,11,0,10,21,8,1,13,40,7,23,49,31,40,12,36,44,14,25,6,4,23,7,32,31,23,16,7,38,36,46,3,48,23,16,30,50,28,22,17,34,31,15,14,31,14,14,23,22,10,27,47,7,46,24,36,31,6,18,49,14,12,28,10,21,50,25,13,21,1,14,11,24,28,43,38,38,38,48,17
23,32,21,19,3,17,9,35,46,28,2,30,22,43,18,23,38,29,33,21,8,1,46,23,0,41,26,8,27,29,39,31,12,29,25,38,32,14,10,18,8,48,6,40,31,45,19,40,47,33,8,19,22,16,45,3,9,39,48,32,24,38,24,18,29,12,18,17,3,9,30,19,38,41,20,12,1,38,37,34,16,8,18,36,43,14,45,29,33,49,38,24,24,10,46,6,2,50,4,7,22
24,5,18,1,33,20,23,15,37,47,31,6,48,6,40,16,28,44,36,1,47,1,44,25,50,0,34,46,18,4,9,26,39,50,12,38,1,15,38,27,29,41,21,20,37,28,21,50,9,19,22,46,42,7,40,14,25,5,24,44,49,29,34,28,45,20,2,42,30,23,9,45,47,38,38,20,24,22,21,3,34,29,19,48,35,44,23,6,34,44,44,40,7,6,14,42,12,8,16,43,36
25,7,48,36,41,28,11,19,29,3,38,31,34,36,35,36,46,14,49,44,11,37,36,22,44,6,0,50,32,46,3,21,9,15,26,8,1,13,18,25,41,49,29,38,35,26,17,12,23,18,37,17,49,42,8,20,18,20,12,11,8,27,29,37,3,9,19,8,9,26,13,31,35,29,32,23,30,10,37,46,21,6,43,5,13,15,35,10,16,19,47,48,34,49,14,41,1,20,41,9,46
26,28,26,10,38,16,34,2,48,9,19,5,22,25,37,49,38,49,26,15,41,37,5,25,23,50,24,0,45,19,18,35,43,17,31,49,29,47,41,16,48,22,17,26,34,47,17,9,50,7,37,21,13,22,35,36,45,33,20,2,31,6,8,49,14,14,49,25,11,24,15,8,28,21,16,20,39,38,38,18,33,48,48,27,19,12,20,50,3,34,6,48,14,37,30,48,24,18,29,5,13
27,1,33,42,6,43,44,4,9,50,45,45,48,21,22,24,27,46,7,31,37,33,34,11,32,24,27,35,0,39,15,1,44,29,43,15,2,14,21,50,24,23,14,22,44,33,41,44,29,33,44,37,46,14,22,42,4,22,15,19,15,9,19,40,22,24,33,46,32,28,27,23,6,4,31,23,9,43,4,1,9,47,45,20,25,19,22,46,20,5,4,2,29,25,42,30,28,24,46,34,37
28,25,36,8,32,37,32,2,4,25,3,45,3,11,18,22,38,12,35,14,35,50,6,49,43,31,24,3,17,0,47,29,4,35,1,8,5,35,50,20,23,42,11,30,45,3,10,36,50,37,37,43,37,46,46,49,24,33,23,39,35,44,18,9,47,22,23,4,44,22,43,12,25,23,28,11,43,23,6,38,26,29,42,18,18,38,25,18,39,48,45,39,42,26,36,5,27,41,40,48,5
29,8,42,35,38,49,16,17,42,50,28,44,21,33,6,16,48,50,47,25,17,9,33,26,25,35,30,50,8,2,0,42,23,29,1,13,19,17,25,1,14,16,1,27,15,29,10,19,46,16,18,22,30,41,2,12,50,40,17,5,21,15,49,5,19,24,26,31,9,23,49,42,24,3,16,15,39,36,21,9,33,27,12,14,2,31,13,31,36,26,2,43,47,17,18,45,20,1,30,13,21
30,50,46,37,22,29,16,30,5,37,11,20,27,12,6,5,15,27,47,11,7,29,45,22,12,34,36,10,49,40,23,0,49,26,9,18,37,44,24,36,31,7,2,24,11,28,27,28,33,3,35,10,34,38,2,20,35,12,3,35,30,30,13,20,7,27,38,47,49,44,19,40,24,21,16,11,36,47,10,43,45,42,35,39,47,41,45,32,9,46,2,47,9,48,13,21,33,14,9,46,34
31,17,18,39,46,38,33,33,32,16,50,21,40,5,6,9,3,11,6,45,16,11,40,38,38,8,46,35,16,50,37,37,0,18,18,50,43,44,27,23,29,41,27,17,8,8,16,33,13,20,50,24,39,50,31,12,13,22,19,46,40,10,9,18,17,14,37,39,35,2,31,25,8,20,31,26,48,34,42,23,48,33,36,13,13,7,42,43,11,20,44,20,42,29,6,4,19,45,16,43,46
32,40,27,43,38,38,36,23,30,42,8,48,4,33,47,35,38,9,31,23,13,11,33,43,44,49,24,14,24,46,34,46,39,0,45,8,25,33,40,28,41,25,1,11,16,11,9,31,25,35,11,30,13,41,50,25,36,19,32,1,10,11,42,30,44,45,40,33,9,46,20,3,41,39,37,9,46,45,42,7,23,46,44,47,33,15,1,15,35,26,33,24,38,24,47,28,6,43,24,28,22
33,38,36,1,25,2,4,4,3,44,45,37,32,30,27,21,7,33,3,22,49,17,20,3,23,14,2,49,30,30,14,48,25,47,0,29,49,11,8,32,34,26,9,37,20,46,46,6,20,22,40,35,30,38,5,45,19,39,20,15,6,4,45,50,46,21,32,10,27,3,4,13,34,36,47,8,3,14,4,12,24,27,25,12,49,6,29,1,21,43,38,23,19,35,24,25,33,7,35,39,48
34,1,38,1,30,15,14,37,39,25,31,35,3,41,38,48,26,25,17,26,45,36,10,1,10,44,33,39,16,24,42,2,46,26,7,0,9,33,50,3,28,20,9,12,44,1,33,23,32,19,46,40,32,9,12,24,29,8,34,2,15,22,8,41,49,27,32,25,20,7,40,21,45,30,25,34,45,13,32,23,38,42,3,13,38,28,14,12,27,14,44,18,37,40,34,15,8,50,33,6,8
35,37,33,6,30,38,31,32,28,8,22,36,16,34,18,16,45,11,44,46,39,12,3,33,17,25,12,21,43,37,23,25,30,12,47,10,0,12,42,23,15,2,5,14,35,39,27,39,2,46,41,5,49,43,10,22,48,41,23,1,14,17,19,12,20,17,30,45,26,44,30,20,3,31,22,40,9,39,25,11,27,20,18,21,16,47,36,27,7,33,35,36,39,16,19,32,9,49,16,16,28
36,30,46,44,6,15,42,28,5,8,47,16,50,30,50,28,27,10,43,17,24,35,2,8,26,7,3,35,50,7,23,23,47,38,5,15,5,0,21,4,32,50,46,32,25,39,28,30,17,49,21,28,47,25,13,16,16,30,4,42,24,7,17,1,37,42,37,16,25,43,47,38,19,29,46,38,47,46,46,9,16,14,35,37,4,31,8,32,26,39,1,1,1,24,15,13,25,7,13,1,28
37,37,10,1,40,19,44,44,19,29,32,30,18,36,43,30,29,29,49,11,10,14,32,35,47,31,4,3,21,44,35,26,30,22,40,30,36,39,0,5,9,18,20,6,46,17,7,42,8,4,49,35,16,15,34,10,7,41,37,36,39,3,39,19,30,10,13,41,27,14,27,40,40,40,49,29,35,2,15,43,49,20,1,24,23,14,7,26,36,39,50,26,25,38,26,12,50,4,19,43,37
38,32,7,26,45,48,31,35,17,47,41,3,11,32,46,12,37,39,44,47,28,33,31,15,31,10,28,12,28,9,46,6,4,39,4,15,25,42,22,0,8,42,44,32,10,8,9,33,31,8,42,7,29,19,32,21,40,1,11,19,15,24,48,29,33,42,34,46,2,45,3,41,3,13,27,4,42,28,49,12,42,21,49,5,40,18,25,14,6,26,25,12,39,2,34,39,3,20,33,31,20
39,13,19,37,27,17,30,31,36,3,35,18,36,46,10,40,35,26,24,36,12,2,25,13,44,17,28,20,43,27,35,2,37,8,9,19,37,40,1,35,0,22,36,23,28,33,31,6,26,46,49,25,28,5,32,33,26,43,39,46,34,8,32,10,10,28,34,40,32,20,47,6,22,13,36,25,9,41,7,16,2,49,37,3,21,50,29,47,20,49,4,22,35,5,12,42,8,45,14,46,32
40,27,20,45,21,26,38,29,49,44,9,25,9,9,27,44,7,50,31,29,27,15,44,30,13,4,11,24,20,6,4,6,47,1,42,30,30,5,14,6,47,0,31,40,25,15,32,31,12,37,26,2,28,7,49,23,27,4,22,28,12,14,20,17,30,39,19,49,6,49,40,22,24,3,32,10,49,39,47,18,2,39,24,3,2,35,24,28,17,36,29,38,49,23,17,30,40,22,45,23,6
41,1,42,33,16,19,42,46,29,1,7,5,49,1,2,9,38,29,7,48,9,39,2,25,14,47,7,9,14,7,27,29,7,15,26,7,3,10,8,9,46,41,0,31,33,3,47,25,46,18,2,27,38,5,43,18,17,15,49,4,45,20,11,9,46,12,34,50,31,4,46,25,16,18,38,23,50,16,34,2,31,17,37,1,18,47,20,18,9,2,28,3,45,30,46,37,31,12,7,42,44
42,37,30,49,8,30,29,34,24,45,17,12,40,40,47,14,27,39,15,27,14,31,2,24,8,44,42,2,37,41,35,8,41,26,27,26,50,41,6,11,15,40,16,0,1,8,47,30,15,18,23,2,39,29,39,23,28,40,19,34,13,4,34,45,22,32,20,14,47,39,11,43,11,43,4,38,11,35,13,46,22,15,30,35,3,7,41,7,42,21,27,29,42,14,50,24,15,26,11,26,33
43,21,32,23,35,5,27,24,17,4,45,32,26,10,3,28,31,13,45,22,13,40,43,50,32,49,36,23,18,19,47,31,22,33,49,35,16,39,40,35,30,33,47,31,0,29,44,24,40,20,1,40,45,37,10,6,46,16,13,44,13,4,10,17,25,24,27,30,2,4,42,2,11,15,24,18,13,8,38,8,11,2,35,39,18,48,40,48,22,6,34,29,41,12,24,42,7,24,35,22,40
44,9,23,20,14,33,48,50,26,15,8,31,30,46,10,14,20,20,44,15,47,16,38,16,5,11,31,27,40,33,42,28,27,11,33,31,19,23,12,11,6,34,46,36,13,0,44,3,36,34,4,35,3,44,29,2,28,46,26,32,46,8,47,36,36,36,2,5,49,13,32,19,40,22,20,19,47,21,32,10,49,20,12,24,23,27,35,38,44,8,32,24,4,11,12,5,8,6,20,40,41
45,21,10,37,17,8,7,40,31,25,29,9,10,25,48,48,50,37,11,24,16,15,13,21,10,45,43,30,46,27,3,50,19,28,27,41,34,14,49,32,7,42,42,17,11,25,0,36,17,29,6,23,7,47,35,3,1,13,19,19,45,5,27,32,14,46,3,15,11,20,40,32,38,17,29,28,5,38,45,19,21,22,25,48,40,12,29,26,44,36,50,29,50,40,29,19,49,11,3,13,36
46,24,7,16,40,18,27,35,42,19,12,7,1,16,42,9,34,7,24,49,36,22,14,12,40,24,1,3,3,42,47,32,29,24,14,7,35,31,26,40,22,23,40,40,21,4,2,0,30,19,47,6,16,29,43,40,7,1,2,4,3,4,41,16,14,49,31,11,20,25,6,17,16,25,37,41,44,42,1,33,46,27,9,34,24,48,15,2,24,16,39,6,10,10,43,39,5,23,31,28,40
47,15,17,21,39,46,35,32,13,44,7,27,14,40,21,37,18,33,20,38,8,20,3,14,11,23,23,25,5,27,26,41,14,19,30,23,19,26,35,24,43,39,25,30,41,38,4,14,0,6,12,20,18,17,20,26,1,36,47,28,1,31,24,11,27,19,15,8,35,32,49,20,15,20,21,10,24,7,1,12,21,14,20,33,23,16,1,31,4,10,17,9,16,13,47,43,5,43,38,50,25
48,28,44,38,25,4,23,14,15,23,43,22,13,6,37,21,5,50,20,47,21,48,11,21,26,48,31,47,41,27,42,47,18,26,18,45,6,10,30,24,33,13,12,1,1,4,21,38,48,0,44,48,47,2,28,22,32,28,29,43,14,31,2,39,37,49,6,50,29,19,37,23,27,29,10,45,35,23,21,13,42,2,42,46,15,20,9,29,12,49,44,40,35,10,46,39,20,2,20,17,19
49,46,13,12,7,7,30,25,10,30,4,23,33,44,36,43,33,11,28,24,11,39,43,45,10,42,34,30,19,10,48,39,15,40,40,7,24,21,9,17,8,1,29,25,20,13,45,43,5,10,0,48,41,46,13,17,1,13,43,20,28,50,1,21,13,27,41,16,12,27,34,43,43,43,23,34,34,47,19,21,4,19,36,17,27,16,7,27,22,31,20,13,39,42,15,24,47,24,46,45,17
50,23,22,24,36,39,32,28,18,30,8,46,11,26,19,30,13,44,43,34,16,1,42,9,9,41,15,46,48,33,20,18,21,22,27,37,34,47,17,5,7,25,25,21,20,48,31,40,49,2,11,0,16,38,29,31,21,24,43,20,10,40,34,3,37,41,30,30,4,34,26,10,16,46,38,48,42,21,31,43,24,26,18,41,11,41,28,16,1,16,39,45,49,2,44,3,42,15,13,33,23
51,16,26,32,28,11,14,26,24,1,34,15,16,43,41,49,34,29,44,34,39,29,49,30,37,33,48,43,40,17,21,9,20,10,6,14,1,27,2,43,45,25,45,4,29,39,13,44,44,7,9,15,0,33,5,50,35,6,25,12,43,29,39,22,9,9,14,50,36,24,26,34,1,14,1,4,46,11,14,50,30,26,25,29,34,38,17,4,26,26,20,15,9,32,35,11,29,27,35,16,32
52,4,8,32,29,6,41,5,43,2,49,1,43,29,32,9,32,2,21,18,4,16,2,10,22,27,37,49,27,34,14,16,14,48,32,15,25,10,1,4,5,49,38,41,18,45,35,30,36,27,17,24,15,0,20,20,32,46,35,12,8,32,29,4,27,26,41,31,36,4,21,14,7,22,39,50,46,40,8,41,14,22,50,44,36,6,32,36,16,10,17,6,44,3,5,17,36,4,41,49,9
53,13,39,9,49,19,50,1,37,4,48,39,20,42,16,47,28,17,17,3,10,28,40,35,21,20,45,14,43,40,39,50,6,30,2,26,24,10,49,29,1,14,17,31,22,12,46,5,6,42,14,22,3,47,0,11,13,36,3,3,30,11,24,3,34,7,2,46,24,46,21,15,25,39,3,11,5,15,35,12,31,28,50,27,25,21,29,37,31,13,14,4,50,49,12,5,21,9,31,29,25
54,5,42,9,8,47,6,40,32,26,38,43,34,9,36,14,35,38,43,19,48,5,18,15,8,45,9,11,5,49,32,12,19,34,9,47,45,38,2,2,44,31,7,30,11,24,44,4,20,50,9,39,15,17,38,0,34,48,12,23,46,35,49,6,6,21,9,16,27,44,20,9,49,18,21,30,3,23,43,28,21,34,39,36,3,8,47,26,8,35,29,24,2,43,8,48,25,3,49,7,24
55,40,37,44,19,22,21,32,26,40,19,29,49,46,19,16,2,1,2,36,24,36,25,34,36,25,3,37,32,42,41,4,24,3,12,34,40,36,39,4,49,24,43,9,25,11,19,14,13,26,3,48,16,21,41,45,0,39,49,34,2,24,12,6,3,3,1,15,7,17,44,4,40,6,6,36,16,35,26,29,49,20,46,9,1,1,6,21,14,15,13,47,43,23,21,14,2,32,47,48,45
56,26,2,37,40,10,15,19,30,14,31,43,29,5,19,15,31,23,23,30,33,22,37,27,29,14,37,9,35,24,9,35,33,24,25,30,6,25,49,9,5,10,6,22,40,46,42,11,46,35,49,11,24,7,7,38,4,0,49,9,24,42,22,49,37,10,27,46,46,11,48,43,33,30,37,4,40,21,42,33,33,28,12,31,13,44,17,10,9,23,14,8,6,9,30,19,24,17,43,8,28
57,33,9,23,40,6,40,11,43,17,34,20,42,6,25,21,18,11,21,29,44,8,8,47,16,39,40,35,1,13,47,32,30,18,28,10,14,38,31,38,23,35,8,9,49,33,48,8,42,17,9,3,23,26,30,31,38,16,0,40,41,23,41,47,37,18,48,50,48,48,46,50,33,9,18,31,14,41,19,14,3,26,49,2,5,28,4,42,18,36,33,47,29,25,20,23,49,50,39,25,33
58,3,48,8,1,29,17,8,16,30,26,32,46,30,38,9,41,20,18,27,16,26,48,23,31,23,33,21,39,40,35,24,27,9,45,2,41,22,1,13,10,17,26,48,23,46,21,34,34,32,42,15,6,33,47,9,48,34,35,0,18,6,13,43,7,24,15,4,23,29,23,28,32,45,16,7,44,24,45,35,50,10,43,18,8,45,40,21,22,49,46,42,43,24,25,21,2,4,14,12,30
59,24,23,22,13,4,28,33,49,26,6,15,42,39,39,36,31,34,27,35,45,47,34,34,26,40,21,22,21,44,24,50,47,3,10,3,6,11,22,29,11,10,6,20,35,28,47,26,25,5,29,17,49,17,49,41,10,45,17,41,0,6,2,4,24,18,4,16,36,15,19,21,20,40,22,12,12,42,31,13,34,32,26,33,36,19,22,13,39,24,36,36,6,14,40,20,38,33,38,17,18
60,18,30,49,11,28,4,11,30,29,49,45,30,9,22,32,19,20,43,36,18,36,44,41,25,32,37,43,8,30,36,36,14,29,48,47,4,33,2,23,49,23,21,16,49,8,4,34,35,8,5,7,24,33,21,7,4,39,15,32,28,0,1,41,38,15,37,46,28,41,32,19,10,28,46,20,35,36,19,29,30,50,26,16,48,8,48,39,10,23,48,38,44,3,2,36,9,20,3,22,1
61,46,29,48,26,12,36,4,17,9,32,38,13,10,33,9,25,40,31,9,19,50,50,26,24,42,34,48,6,25,42,45,38,39,23,28,35,5,5,8,43,37,17,45,26,29,47,6,18,46,17,6,10,19,12,18,8,29,25,32,34,24,0,19,34,20,48,20,20,28,7,23,31,33,1,32,46,37,35,27,44,44,18,32,5,37,10,11,34,24,43,8,25,44,10,15,20,50,6,1,46
62,5,16,16,35,46,43,17,26,43,2,29,21,29,35,31,16,37,33,41,18,25,44,36,20,50,18,21,41,17,28,24,11,13,7,2,40,49,48,13,16,25,45,33,3,37,38,45,48,26,42,16,42,11,14,3,1,30,13,17,34,50,14,0,28,14,19,6,9,42,31,30,41,17,29,13,11,16,20,47,29,7,25,17,23,43,41,8,41,19,6,33,34,24,15,47,44,37,26,20,31
63,13,30,38,24,23,10,30,1,2,26,17,43,7,49,4,49,12,46,38,50,18,24,11,31,18,17,48,33,45,37,12,25,14,33,22,5,4,19,20,4,1,12,40,13,38,3,48,4,27,27,3,12,48,46,6,3,7,41,22,8,43,40,47,0,22,9,47,40,32,9,13,13,44,49,8,23,46,26,13,11,45,16,14,32,35,29,13,23,20,15,50,11,40,43,5,26,31,45,31,30
64,24,33,26,22,27,12,49,13,46,41,40,28,45,29,39,34,29,24,17,34,49,6,6,40,44,48,4,20,29,19,14,27,14,20,45,17,10,13,6,7,50,37,16,47,17,13,50,39,1,39,37,14,1,13,30,24,22,25,29,3,8,29,7,21,0,31,23,19,33,47,16,20,41,31,16,39,31,1,1,40,39,9,25,6,10,10,34,5,41,33,5,24,31,12,11,32,1,16,49,27
65,24,49,24,24,5,16,6,18,40,28,6,33,44,43,8,22,8,28,14,50,18,10,11,13,28,7,3,26,32,16,1,2,33,37,18,38,28,38,48,17,35,44,31,19,40,36,34,14,24,41,46,26,8,49,1,32,30,47,44,31,22,1,25,35,41,0,43,6,43,2,20,24,44,34,36,36,1,48,41,12,11,37,37,21,15,11,31,20,22,11,40,12,27,41,13,37,45,22,34,18
66,5,11,2,18,7,22,12,8,38,13,33,50,28,12,34,43,15,5,25,43,4,21,20,17,38,38,35,23,41,13,26,43,44,46,46,13,30,18,5,36,28,43,45,5,31,21,34,34,50,25,1,29,32,15,8,46,42,15,32,7,34,13,21,12,38,40,0,20,25,33,34,46,15,34,48,6,34,25,27,17,27,34,40,6,20,6,36,37,10,18,9,6,5,2,44,29,42,46,11,49
